Name,State,Saffir-Simpson,Date of closest approach,Year
Unnamed,Mississippi,Category 1 hurricane,15-Aug,1901
Unnamed,Mississippi,Category 2 hurricane,27-Sep,1906
Unnamed,Mississippi,Category 2 hurricane,21-Sep,1909
Unnamed,Mississippi,Category 2 hurricane,29-Sep,1915
Unnamed,Mississippi,Category 3 hurricane,6-Jul,1916
Unnamed,Mississippi,Category 1 hurricane,16-Oct,1923
Unnamed,Mississippi,Category 1 hurricane,21-Sep,1926
Unnamed,Mississippi,Category 2 hurricane,19-Sep,1947
Ethel,Mississippi,Category 1 hurricane,15-Sep,1960
Camille,Mississippi,Category 5 hurricane,18-Aug,1969
Frederic,Mississippi,Category 3 hurricane,13-Sep,1979
Elena,Mississippi,Category 3 hurricane,2-Sep,1985
Georges,Mississippi,Category 2 hurricane,29-Sep,1998
Katrina,Mississippi,Category 3 hurricane,29-Aug,2005
Nate,Mississippi,Category 1 hurricane,8-Oct,2017
Gloria,New Hampshire,Category 2 hurricane,27-Sep,1985
Unnamed,New York,Category 1 hurricane,16-Sep,1858
Unnamed,New York,Category 1 hurricane,8-Sep,1869
Unnamed,New York,Category 1 hurricane,24-Aug,1893
Unnamed,New York,Category 1 hurricane,10-Oct,1894
Unnamed,New York,Category 1 hurricane,8-Sep,1934
Unnamed,New York,Category 3 hurricane,21-Sep,1938
Unnamed,New York,Category 2 hurricane,15-Sep,1944
Carol,New York,Category 3 hurricane,31-Aug,1954
Edna,New York,Category 1 hurricane,11-Sep,1954
Donna,New York,Category 2 hurricane,12-Sep,1960
Agnes,New York,Category 1 hurricane,22-Jun,1972
Belle,New York,Category 1 hurricane,10-Aug,1976
Gloria,New York,Category 2 hurricane,27-Sep,1985
Bob,New York,Category 2 hurricane,19-Aug,1991
Sandy,New York,Category 1 hurricane,29-Oct,2012
Unnamed,North Carolina,Category 1 hurricane,13-Sep,1857
Unnamed,North Carolina,Category 1 hurricane,27-Sep,1861
Unnamed,North Carolina,Category 1 hurricane,2-Nov,1861
Unnamed,North Carolina,Category 1 hurricane,24-Sep,1874
Unnamed,North Carolina,Category 1 hurricane,17-Sep,1876
Unnamed,North Carolina,Category 2 hurricane,23-Oct,1878
Unnamed,North Carolina,Category 3 hurricane,18-Aug,1879
Unnamed,North Carolina,Category 1 hurricane,9-Sep,1880
Unnamed,North Carolina,Category 2 hurricane,9-Sep,1881
Unnamed,North Carolina,Category 2 hurricane,11-Sep,1883
Unnamed,North Carolina,Category 2 hurricane,25-Sep,1885
Unnamed,North Carolina,Category 1 hurricane,28-Aug,1893
Unnamed,North Carolina,Category 1 hurricane,13-Oct,1893
Unnamed,North Carolina,Category 1 hurricane,29-Sep,1896
Unnamed,North Carolina,Category 3 hurricane,18-Aug,1899
Unnamed,North Carolina,Category 2 hurricane,31-Oct,1899
Unnamed,North Carolina,Category 1 hurricane,11-Jul,1901
Unnamed,North Carolina,Category 1 hurricane,17-Sep,1906
Unnamed,North Carolina,Category 1 hurricane,31-Jul,1908
Unnamed,North Carolina,Category 1 hurricane,3-Sep,1913
Unnamed,North Carolina,Category 1 hurricane,24-Aug,1918
